"","LRT_Lat","LRT_Lon"
"769",29.934324,-90.009033
"770",32.780366,-97.255935
"771",30.524744,-90.43502
"772",NA,NA
"773",30.620075,-90.496404
"774",29.991734,-90.085749
"775",32.48103,-91.99046
"776",29.384776,-94.971871
"777",29.663202,-91.127022
"778",30.285928,-93.157559
"779",35.51209,-97.512259
"780",29.955715,-90.077497
"781",NA,NA
"782",29.74295,-95.097848
"783",31.270584,-92.462715
"784",32.824651,-96.851258
"785",32.532373,-93.682677
"786",30.070833,-94.054694
"787",30.28495,-89.74302
"788",29.682377,-95.317236
"789",29.744222,-95.1225
"790",32.780446,-97.26318
"791",35.659157,-101.45266
"792",30.17165,-91.346115
"793",30.687159,-91.452874
"794",30.58333,-91.24333
"795",30.68667,-91.2678
"796",NA,NA
"797",30.490826,-91.122821
"798",32.968611,-93.991667
"799",NA,NA
"800",30.552135,-91.469277
"801",34.064732,-93.08255
"802",34.513889,-92.630556
"803",30.00164,-90.1299
"804",29.937005,-90.210793
"805",29.633833,-90.758092
"806",30.186164,-92.066337
"807",30.50299,-91.15194
"808",32.515437,-92.633337
"809",30.2288,-92.26873
"810",31.56077,-93.47112
"811",33.2375,-97.081389
"812",29.85289,-90.02427
"813",29.680778,-95.320472
"814",29.704022,-90.565426
"815",29.924511,-90.371761
"816",32.490906,-92.110706
"817",30.046709,-90.699653
"818",32.533104,-93.652259
"819",30.486234,-90.456852
"820",35.103208,-106.644369
"821",NA,NA
"822",30.465222,-90.040767
"823",30.187222,-93.305194
"824",29.725028,-95.273806
"825",30.671008,-95.589607
"826",29.705511,-91.202286
"827",NA,NA
"828",29.781012,-90.807314
"829",NA,NA
"830",29.736338,-95.091873
"831",29.955258,-90.075855
"832",NA,NA
"833",32.465917,-97.027366
"834",31.083519,-93.166824
"835",30.047091,-91.872888
"836",35.242949,-101.83595
"837",27.729053,-97.658318
"838",29.953606,-90.079277
"839",32.374444,-103.791388
"840",27.811058,-97.443436
"841",29.855953,-94.091568
"842",29.715654,-94.983665
"843",NA,NA
"844",30.684913,-92.265705
"845",NA,NA
"846",29.745,-95.094167
"847",29.478295,-95.635775
"848",32.440964,-103.052826
"849",NA,NA
"850",32.756473,-97.301961
"851",NA,NA
"852",30.547465,-92.117141
"853",33.0175,-96.957494
"854",36.21057,-95.81651
"855",30.231526,-92.067006
"856",32.48596,-92.01823
"857",29.914373,-90.263967
"858",30.471902,-91.080296
"859",35.50264,-97.415215
"860",31.925419,-92.645205
"861",29.788,-94.52033
"862",41.926327,-91.689421
"863",41.192542,-95.414383
"864",39.094146,-94.534807
"865",40.80833,-91.24666
"866",37.192361,-93.328861
"867",37.698902,-95.458814
"868",38.790494,-91.049348
"869",39.250167,-94.291722
"870",39.15393,-94.49527
"871",42.41463,-92.32658
"872",38.771222,-90.443667
"873",40.788261,-96.699036
"874",41.14091,-92.64614
"875",43.38268,-93.57207
"876",37.845358,-97.187867
"877",40.8671,-96.6536
"878",41.1544,-103.659
"879",37.729263,-97.319216
"880",37.089528,-95.58375
"881",41.310803,-92.598368
"882",37.66946,-97.38764
"883",41.21597,-95.879621
"884",41.834889,-96.710759
"885",42.729667,-95.558702
"886",39.03333,-94.8
"887",41.635773,-93.581458
"888",37.097412,-94.383462
"889",37.722806,-97.324972
"890",37.09375,-94.382778
"891",42.480108,-92.292514
"892",39.103711,-94.688394
